Source,Target,Type,Weight
1,2,Undirected,60
1,3,Undirected,80
1,4,Undirected,169
1,5,Undirected,276
1,7,Undirected,5
1,8,Undirected,12
1,9,Undirected,9
1,11,Undirected,79
1,14,Undirected,5
1,15,Undirected,22
1,16,Undirected,5
1,17,Undirected,5
1,18,Undirected,1
1,19,Undirected,3
1,20,Undirected,13
1,21,Undirected,12
1,23,Undirected,27
1,26,Undirected,47
1,27,Undirected,19
1,28,Undirected,4
1,29,Undirected,3
1,30,Undirected,6
1,31,Undirected,2
1,32,Undirected,8
1,34,Undirected,21
1,36,Undirected,1
1,39,Undirected,27
1,40,Undirected,13
1,41,Undirected,4
1,42,Undirected,9
1,43,Undirected,5
1,44,Undirected,19
1,46,Undirected,1
1,65,Undirected,1
1,71,Undirected,1
1,79,Undirected,12
1,81,Undirected,2
1,82,Undirected,3
1,83,Undirected,2
1,84,Undirected,9
1,88,Undirected,2
1,89,Undirected,3
1,90,Undirected,2
1,92,Undirected,1
1,93,Undirected,7
1,100,Undirected,1
1,126,Undirected,8
1,131,Undirected,2
1,132,Undirected,1
1,134,Undirected,9
1,137,Undirected,18
1,141,Undirected,4
1,142,Undirected,2
1,143,Undirected,1
1,145,Undirected,5
1,146,Undirected,3
1,156,Undirected,1
1,157,Undirected,2
1,158,Undirected,2
1,174,Undirected,3
1,175,Undirected,1
1,196,Undirected,1
1,197,Undirected,8
1,198,Undirected,15
1,199,Undirected,1
1,200,Undirected,87
1,201,Undirected,16
1,204,Undirected,6
1,206,Undirected,1
1,209,Undirected,3
1,210,Undirected,7
1,211,Undirected,2
1,212,Undirected,2
1,215,Undirected,2
1,219,Undirected,2
1,220,Undirected,2
1,224,Undirected,2
1,228,Undirected,2
1,229,Undirected,2
2,1,Undirected,60
2,3,Undirected,109
2,5,Undirected,25
2,7,Undirected,18
2,8,Undirected,10
2,9,Undirected,11
2,11,Undirected,6
2,14,Undirected,1
2,15,Undirected,12
2,16,Undirected,1
2,19,Undirected,1
2,20,Undirected,12
2,26,Undirected,26
2,28,Undirected,12
2,29,Undirected,4
2,30,Undirected,14
2,31,Undirected,5
2,32,Undirected,43
2,34,Undirected,1
2,35,Undirected,34
2,36,Undirected,11
2,37,Undirected,84
