Source,Target,Type,Weight
1,2,Undirected,60
1,3,Undirected,80
1,4,Undirected,169
1,5,Undirected,276
1,8,Undirected,12
1,11,Undirected,79
1,15,Undirected,22
1,20,Undirected,13
1,21,Undirected,12
1,23,Undirected,27
1,26,Undirected,47
1,27,Undirected,19
1,34,Undirected,21
1,39,Undirected,27
1,40,Undirected,13
1,44,Undirected,19
1,79,Undirected,12
1,137,Undirected,18
1,198,Undirected,15
1,200,Undirected,87
1,201,Undirected,16
2,1,Undirected,60
2,3,Undirected,109
2,5,Undirected,25
2,7,Undirected,18
2,8,Undirected,10
2,9,Undirected,11
2,15,Undirected,12
2,20,Undirected,12
2,26,Undirected,26
2,28,Undirected,12
2,30,Undirected,14
2,32,Undirected,43
2,35,Undirected,34
2,36,Undirected,11
2,37,Undirected,84
2,38,Undirected,64
2,39,Undirected,62
2,40,Undirected,18
2,41,Undirected,17
2,42,Undirected,13
2,79,Undirected,31
2,84,Undirected,15
2,88,Undirected,39
2,89,Undirected,17
2,97,Undirected,16
2,105,Undirected,20
2,163,Undirected,11
2,168,Undirected,10
2,174,Undirected,17
2,175,Undirected,16
2,177,Undirected,15
2,183,Undirected,67
2,184,Undirected,14
2,186,Undirected,24
3,1,Undirected,80
3,2,Undirected,109
3,4,Undirected,114
3,5,Undirected,43
3,6,Undirected,106
3,7,Undirected,332
3,8,Undirected,246
3,9,Undirected,163
3,10,Undirected,14
3,11,Undirected,117
3,12,Undirected,11
3,13,Undirected,18
3,15,Undirected,101
3,16,Undirected,12
3,17,Undirected,11
3,18,Undirected,10
3,20,Undirected,83
3,21,Undirected,13
3,22,Undirected,50
3,26,Undirected,181
3,28,Undirected,14
3,30,Undirected,26
3,31,Undirected,11
3,32,Undirected,119
3,36,Undirected,10
3,38,Undirected,11
3,39,Undirected,19
3,40,Undirected,57
3,41,Undirected,26
3,42,Undirected,156
3,43,Undirected,34
3,46,Undirected,27
3,47,Undirected,11
3,48,Undirected,18
3,53,Undirected,12
3,55,Undirected,16
3,59,Undirected,39
3,62,Undirected,47
3,65,Undirected,25
3,71,Undirected,20
3,72,Undirected,16
3,78,Undirected,11
3,106,Undirected,17
3,107,Undirected,13
3,109,Undirected,55
3,115,Undirected,12
