Source,Target,Type,Weight
﻿喬峰 蕭峰,虛竹,Undirected,60
﻿喬峰 蕭峰,段譽,Undirected,80
﻿喬峰 蕭峰,阿朱,Undirected,169
﻿喬峰 蕭峰,阿紫,Undirected,276
﻿喬峰 蕭峰,王語嫣,Undirected,5
﻿喬峰 蕭峰,木婉清,Undirected,12
﻿喬峰 蕭峰,段正淳 鎮南王,Undirected,79
﻿喬峰 蕭峰,范驊 范司馬,Undirected,5
﻿喬峰 蕭峰,巴天石 司空,Undirected,22
﻿喬峰 蕭峰,華赫艮 華司徒,Undirected,5
﻿喬峰 蕭峰,褚萬里,Undirected,5
﻿喬峰 蕭峰,古篤誠,Undirected,1
﻿喬峰 蕭峰,傅思歸,Undirected,3
﻿喬峰 蕭峰,朱丹臣,Undirected,13
﻿喬峰 蕭峰,秦紅棉 修羅刀 幽谷客,Undirected,12
﻿喬峰 蕭峰,阮星竹,Undirected,27
﻿喬峰 蕭峰,慕容複 南慕容,Undirected,47
﻿喬峰 蕭峰,慕容博,Undirected,19
﻿喬峰 蕭峰,鄧百川,Undirected,4
﻿喬峰 蕭峰,公冶乾,Undirected,3
﻿喬峰 蕭峰,包不同,Undirected,6
﻿喬峰 蕭峰,風波惡,Undirected,2
﻿喬峰 蕭峰,鳩摩智,Undirected,8
﻿喬峰 蕭峰,蕭遠山,Undirected,21
﻿喬峰 蕭峰,天山童姥,Undirected,1
﻿喬峰 蕭峰,丁春秋 星宿老怪 星宿派掌門人,Undirected,27
﻿喬峰 蕭峰,段延慶 惡貫滿盈,Undirected,13
﻿喬峰 蕭峰,葉二娘 無惡不作,Undirected,4
﻿喬峰 蕭峰,岳老三 南海鱷神,Undirected,9
﻿喬峰 蕭峰,雲中鶴 窮凶極惡,Undirected,5
﻿喬峰 蕭峰,游坦之 鐵頭人 莊聚賢,Undirected,19
﻿喬峰 蕭峰,崔百泉 霍先生,Undirected,1
﻿喬峰 蕭峰,黃眉僧,Undirected,1
﻿喬峰 蕭峰,枯榮大師 枯榮,Undirected,1
﻿喬峰 蕭峰,玄慈 帶頭大哥,Undirected,12
